	MGI_ID	ENTREZ_ID
352	MGI:2685477	269336
354	MGI:98320	625018
355	MGI:1202398	16545
356	MGI:1920962	73712
357	MGI:1932271	81842
359	MGI:1924924	77674
360	MGI:1921430	74180
361	MGI:1923692	98365
362	MGI:1336212	17086
363	MGI:1925841	78591
364	MGI:1914110	66860
365	MGI:2384418	243923
367	MGI:2685418	230909
368	MGI:2685906	381738
369	MGI:3588207	436022
370	MGI:2179288	246102
375	MGI:2177151	171486
381	MGI:109238	20422
382	MGI:1921263	74013
384	MGI:1913610	100503572
385	MGI:3619050	723966
386	MGI:2676795	387246
387	MGI:109450	14296
388	MGI:1351637	27412
389	MGI:1195983	111970
391	MGI:2683537	231225
392	MGI:3583957	546144
393	MGI:1920986	73736
394	MGI:101917	12033
395	MGI:1351486	27096
396	MGI:1935215	93711
397	MGI:1924209	76959
398	MGI:1918053	622434
399	MGI:1929885	64103
401	MGI:1920970	73720
402	MGI:1924305	77055
403	MGI:1926039	78789
404	MGI:5568573	100873094
405	MGI:1917870	70620
406	MGI:96016	110257
408	MGI:1351611	107371
409	MGI:2141794	232288
410	MGI:1922011	74761
411	MGI:2442647	319742
412	MGI:109587	18383
413	MGI:2447813	321007
414	MGI:1932134	77945
416	MGI:2385957	259172
417	MGI:1918788	71538
418	MGI:1914794	67544
419	MGI:1923469	76219
420	MGI:1924226	76976
423	MGI:1921547	74297
424	MGI:3619419	723939
425	MGI:3718571	100124480
426	MGI:3709841	100049546
427	MGI:3709840	100049548
428	MGI:2443767	223921
430	MGI:1346335	24084
431	MGI:1921538	74288
432	MGI:1920866	73616
433	MGI:1347248	26366
435	MGI:3028590	74369
436	MGI:2443685	244234
443	MGI:2147989	103012
444	MGI:1922209	74959
445	MGI:107612	20167
446	MGI:5490891	102466836
447	MGI:2385897	231832
448	MGI:1915450	101142
449	MGI:1289234	52428
450	MGI:1916188	68938
451	MGI:1351319	27211
452	MGI:1351324	27209
453	MGI:1351323	27208
454	MGI:1351325	27210
457	MGI:1931001	171211
460	MGI:2138271	98376
463	MGI:2141640	333088
464	MGI:3586330	218921
465	MGI:1921197	68281
466	MGI:1917459	70209
467	MGI:3650286	629303
468	MGI:1923896	76646
469	MGI:2447816	321008
470	MGI:2443589	320208
471	MGI:1916951	66432
472	MGI:1924063	76813
473	MGI:1923500	109052
474	MGI:2149673	114666
475	MGI:1917941	70691
476	MGI:1860197	104082
477	MGI:1891716	59308
478	MGI:1934666	83691
479	MGI:1915882	68632
480	MGI:1925498	78248
481	MGI:1921633	74383
482	MGI:1915501	68251
483	MGI:2158419	101056014
484	MGI:2158417	170799
485	MGI:1913299	66049
489	MGI:1338042	18526
490	MGI:1328352	20400
491	MGI:95975	15061
493	MGI:3687343	434147
494	MGI:97937	19782
495	MGI:1923304	227723
496	MGI:1098222	19711
497	MGI:1916003	68753
498	MGI:1920703	73453
499	MGI:1349409	26572
500	MGI:1921690	74440
501	MGI:1202875	218490
502	MGI:1913506	66256
503	MGI:2444121	77097
504	MGI:1917997	70747
505	MGI:1923847	109145
506	MGI:3646230	624224
508	MGI:2159400	20776
509	MGI:1888677	57330
510	MGI:1333768	16688
511	MGI:1916078	68828
512	MGI:5453296	115488833
513	MGI:2444824	320832
514	MGI:1923032	75782
515	MGI:1261813	433938
516	MGI:3045308	239167
517	MGI:2684898	214292
518	MGI:107461	12994
520	MGI:1913923	66673
526	MGI:87920	11520
529	MGI:3045350	244723
531	MGI:1098567	11899
532	MGI:1261760	268890
533	MGI:2445154	320974
534	MGI:2176213	170935
535	MGI:2676838	387171
536	MGI:3691606	791079
537	MGI:3629894	751547
538	MGI:2676851	387182
539	MGI:2676815	387237
540	MGI:3691605	791072
541	MGI:3619340	723841
542	MGI:2144804	104798
543	MGI:3039635	407831
544	MGI:96881	17068
545	MGI:3618741	723820
548	MGI:2143132	102595
549	MGI:2387324	210710
550	MGI:104697	17833
551	MGI:2676829	387162
552	MGI:3623820	723792
553	MGI:1916199	68949
554	MGI:1321402	16822
556	MGI:2685212	434784
557	MGI:1913904	66654
558	MGI:1922097	74847
559	MGI:1098767	68549
560	MGI:1914341	67091
562	MGI:2183683	215690
563	MGI:1913656	66406
564	MGI:1891654	56444
565	MGI:1859251	53598
566	MGI:1923864	76614
567	MGI:1925867	78617
568	MGI:1914294	67044
569	MGI:1922847	75597
570	MGI:3839961	68171
576	MGI:3036268	210108
577	MGI:2444223	218442
578	MGI:3629911	751556
579	MGI:1914954	67704
580	MGI:1915778	68528
581	MGI:2444069	320460
582	MGI:1933172	83453
583	MGI:1352498	29811
584	MGI:1313259	20555
585	MGI:2149034	252828
586	MGI:1917019	69769
587	MGI:1930125	58205
588	MGI:1926446	60533
589	MGI:1926074	328795
590	MGI:2444716	219134
591	MGI:1915795	68545
592	MGI:1913523	66273
593	MGI:2384589	235439
594	MGI:2154278	140577
595	MGI:3041225	330096
596	MGI:1913322	66072
597	MGI:1925884	78634
598	MGI:2685114	637277
599	MGI:1928994	56191
600	MGI:2384747	170942
601	MGI:1914504	67254
